UMLS_pt,UMLS_pt_UI,pt
Myositis Ossificans,C0027122,Breast prosthesis removal
Blue Toe Syndrome,C0242645,Myositis ossificans
Lipoma,C0023798,Blue toe syndrome
Adenomatous Polyposis Coli,C0032580,Lipoma
Biliary Tract Diseases,C0005424,Adenomatous polyposis coli
Pancreatic Ductal Adenocarcinoma,C1335302,Biliary tract disorder
Pancreaticoduodenectomy,C0085162,Ductal adenocarcinoma of pancreas
Small cell lung cancer extensive stage,C0278726,Pancreaticoduodenectomy
Device material issue,C2747894,Small cell lung cancer extensive stage
Operation on nasal septum,C0396141,Device material issue
Neurectomy,C0196652,Nasal septal operation
Benign tumor of pancreas,C0347284,Neurectomy
Papilla of Vater stenosis,C2242484,Benign pancreatic neoplasm
effusion,C0013687,Papilla of Vater stenosis
Intentional device misuse,C1868905,Effusion
Leukaemia recurrent,C0920028,Device misuse
Bronchial aspiration procedure,C4727994,Leukaemia recurrent
Contusion of lung,C0347625,Aspiration bronchial
Meningococcal Infections,C0025303,Pulmonary contusion
Dextrocardia,C0011813,Meningococcal infection
Situs ambiguus,C0266642,Dextrocardia
Post procedural stroke,C1735605,Heterotaxia
Clostridium colitis,C1142300,Post procedural stroke
Carbohydrate antigen 125 normal,C3203506,Clostridium colitis
Genital burning sensation,C1096300,Carbohydrate antigen 125
Genital erythema,C0239719,Genital burning sensation
Pain of lymph node,C0578050,Genital erythema
Pulmonary Fistula,C1397452,Lymph node pain
Difficulty passing urine,C0241705,Pulmonary fistula
Paronychia (disorder),C0030578,Strangury
Short Bowel Syndrome,C0036992,Nail bed inflammation
Low density lipoprotein cholesterol measurement,C0202117,Short-bowel syndrome
Antipsychotic drug level above therapeutic,C1168086,Low density lipoprotein
Difficult venous access,C0577866,Antipsychotic drug level above therapeutic
Selenium deficiency,C0238421,Poor venous access
Vitamin B Deficiency,C0042850,Selenium deficiency
Ascorbic Acid Deficiency,C0003969,Vitamin B complex deficiency
Peptic Ulcer Hemorrhage,C0030922,Vitamin C deficiency
Ovarian cancer stage IV,C4721779,Peptic ulcer haemorrhage
Deficiency of testosterone biosynthesis,C0342527,Ovarian cancer metastatic
Homocystinuria,C0019880,Androgen deficiency
Hypothalamo-pituitary disorder,C0853237,Homocystinuria
Mastocytosis,C0024899,Hypothalamo-pituitary disorder
Pituitary infarction,C0342405,Mastocytosis
Sternal injury,C1112727,Pituitary infarction
Alanine aminotransferase abnormal,C0855619,Sternal injury
Aspartate aminotransferase abnormal,C0855623,Alanine aminotransferase abnormal
Blood bilirubin abnormal,C1142015,Aspartate aminotransferase abnormal
Tetralogy of Fallot,C0039685,Blood bilirubin abnormal
"Blindness, Cortical",C0155320,Fallot's tetralogy
Electroencephalogram abnormal,C0151611,Blindness cortical
Solar dermatitis,C1442835,Electroencephalogram abnormal
Finger repair operation,C0744032,Solar dermatitis
Hepatobiliary neoplasm,C0854196,Finger repair operation
"Malignant lymphoma, metastatic",C1266190,Hepatobiliary neoplasm
Pancreatic calcification,C1842406,Metastatic lymphoma
Pancreatic carcinoma recurrent,C0854777,Pancreatic calcification
Administration of prophylactic anticoagulant,C0199242,Pancreatic carcinoma recurrent
Body Height,C0005890,Thrombosis prophylaxis
Euthyroid Sick Syndromes,C0015190,Body height
Renal cyst haemorrhage,C1168323,Euthyroid sick syndrome
Ruptured cyst of kidney,C0877320,Renal cyst haemorrhage
Blood phosphorus increased,C0919625,Renal cyst ruptured
Sacroiliitis,C0574960,Blood phosphorus increased
Deformity of spine,C0575157,Sacroiliitis
Urine output increased,C1167965,Spinal deformity
Recurrent Chronic Lymphoid Leukemia,C0854802,Urine output increased
Renal lymphocele,C1167866,Chronic lymphocytic leukaemia recurrent
Dyschezia,C0237326,Renal lymphocele
Epstein-Barr virus associated lymphoma,C3203574,Dyschezia
Enterococcus test positive,C2748014,Epstein-Barr virus associated lymphoma
Lymphocyte percentage decreased,C0949044,Enterococcus test positive
Cor pulmonale,C0034072,Lymphocyte percentage decreased
Non-immune heparin associated thrombocytopenia,C3267111,Cor pulmonale
Cerebellar hemorrhage,C0149854,Non-immune heparin associated thrombocytopenia
Interstitial granulomatous dermatitis,C2242585,Cerebellar haemorrhage
Pancreatic neuroendocrine tumour metastatic,C2609093,Interstitial granulomatous dermatitis
Malignant melanoma of retina,C0853394,Pancreatic neuroendocrine tumour
Hemopericardium,C0019064,Retinal melanoma
Saliva altered,C0235746,Pericardial haemorrhage
Pleural infection bacterial,C1963726,Saliva altered
Intraductal papillary mucinous neoplasm,C3160815,Pleural infection bacterial
Internal injury,C2937319,Intraductal papillary mucinous neoplasm
Uterine Perforation,C0042139,Internal injury
Fracture with displacement,C0585059,Uterine perforation
Glomerulonephritis,C0017658,Fracture displacement
Aspergillosis,C0004030,Glomerulonephritis
Neonatal hypoglycemia,C0158986,Aspergillus infection
Temperature regulation disorder,C0854171,Hypoglycaemia neonatal
Impulsive Behavior,C0021125,Temperature regulation disorder
Cardiac ventricular thrombosis,C0876993,Impulsive behaviour
Enophthalmos,C0014306,Cardiac ventricular thrombosis
Medical induction of coma,C2938988,Enophthalmos
Abscess of prostate,C0156290,Medical induction of coma
Streptococcal toxic shock syndrome,C0343532,Prostatic abscess
Cervicobrachial syndrome,C0158281,Toxic shock syndrome streptococcal
Escherichia bacteraemia,C1096262,Cervicobrachial syndrome
Squamous cell carcinoma of the head and neck,C1168401,Escherichia bacteraemia
Complication of device removal,C0853936,Squamous cell carcinoma of head and neck
Female infertility,C0021361,Complication of device removal
Postcholecystectomy Syndrome,C0152099,Infertility female
Hepatic Coma,C0019147,Post cholecystectomy syndrome
Post inflammatory pigmentation change,C0853828,Coma hepatic
Product label confusion,C2609215,Post inflammatory pigmentation change
Intracranial Hypertension,C0151740,Product label confusion
Blood albumin increased,C0853776,Intracranial pressure increased
Transplantation of liver,C0023911,Blood albumin increased
Kidney Transplantation,C0022671,Liver transplant
Pure Red-Cell Aplasia,C0034902,Renal transplant
Anorectal cellulitis,C0520567,Aplasia pure red cell
Electrocardiogram ST segment abnormal,C0855335,Anorectal cellulitis
Acute left ventricular failure,C1306063,Electrocardiogram ST segment abnormal
Contrast media reaction,C0853800,Acute left ventricular failure
Infusion site infection,C1096714,Contrast media reaction
"Skull Fracture, Basilar",C0748830,Infusion site infection
Hyperlipoproteinemia Type IIa,C0745103,Skull fractured base
Increased anion gap,C0342592,Type IIa hyperlipidaemia
Blood bicarbonate level decreased below normal,C0852909,Anion gap increased
Small cell carcinoma of lung,C0149925,Blood bicarbonate decreased
Dysplastic Nevus,C0205748,Small cell lung cancer
Stenosis of celiac artery,C1963847,Dysplastic naevus
Mesenteric arterial occlusion,C0151815,Coeliac artery stenosis
Neutropenic colitis,C0400823,Mesenteric arterial occlusion
Long QT Syndrome,C0023976,Neutropenic colitis
Reflux gastritis,C0267158,Long QT syndrome
Stage III Colon Cancer,C0278480,Reflux gastritis
Catheter site inflammation,C0948817,Colon cancer stage III
Diet refusal,C0856050,Catheter site inflammation
Skin ulcer haemorrhage,C0919690,Diet refusal
Thrombosis of retinal artery,C0235768,Skin ulcer haemorrhage
Hypogammaglobulinemia,C0086438,Retinal artery thrombosis
Cachexia,C0006625,Hypogammaglobulinaemia
Asocial behavior,C0233528,Cachexia
Lymphatic system neoplasm,C0948214,Asocial behaviour
Cardiomyopathy acute,C0549283,Lymphatic system neoplasm
Ischemic hepatitis,C0473117,Cardiomyopathy acute
Intelligence increased,C0542054,Ischaemic hepatitis
Electrocardiogram change,C0855329,Intelligence increased
Spontaneous pneumothorax,C0149781,Electrocardiogram change
Stenotrophomonas infection,C0948224,Pneumothorax spontaneous
Pterygium of eye,C4520843,Stenotrophomonas infection
Bleeding varices,C0333106,Pterygium
Victim of homicide,C1142154,Bleeding varicose vein
Somatoform disorder pregnancy,C0855256,Victim of homicide
Neonatal agitation,C0235844,Somatoform disorder pregnancy
Product outer packaging issue,C2609217,Agitation neonatal
Stitch abscess,C0038343,Product outer packaging issue
Cardiac ventricular disorder,C1112386,Stitch abscess
Prostatic pain,C0240812,Cardiac ventricular disorder
Fungal eye infections,C0015405,Prostatic pain
"Keratitis, Herpetic",C0019357,Eye infection fungal
Lung hyperinflation,C1167782,Ophthalmic herpes simplex
Mask-like facies,C0424448,Lung hyperinflation
High pulse pressure,C0855323,Masked facies
Shoulder deformity,C0866718,Pulse pressure increased
Hypertransaminasaemia,C2242708,Shoulder deformity
Arterial embolism,C0549124,Hypertransaminasaemia
Abnormal mean corpuscular volume,C0853655,Embolism arterial
Monocyte count outside reference range,C5700153,Mean cell volume abnormal
Disturbance in social behaviour,C0855236,Monocyte count abnormal
Substance-induced mood disorder,C3267135,Disturbance in social behaviour
Peripheral artery stenosis,C3495797,Substance-induced mood disorder
Macrocytosis (finding),C0684332,Peripheral artery stenosis
Renal hypertension,C0020544,Macrocytosis
Congenital anomaly of gastrointestinal tract,C0012241,Renal hypertension
Tinea cruris,C1384589,Gastrointestinal malformation
Drug diversion,C0680490,Tinea cruris
Senile purpura,C0149766,Drug diversion
Osteolysis,C4721411,Purpura senile
Tooth Injuries,C0242891,Resorption bone increased
Gastric Adenocarcinoma,C0278701,Tooth injury
Urinary tract obstruction,C0178879,Adenocarcinoma gastric
Eye naevus,C0919866,Urinary tract obstruction
"Dermatitis, Atopic",C0011615,Eye naevus
Infusion site bruising,C1167685,Dermatitis atopic
Nosophobia,C0522182,Infusion site bruising
Bleeding of soft tissue,C0948016,Fear of disease
Tracheal Stenosis,C0040583,Soft tissue haemorrhage
"Hallucinations, mixed",C0855223,Tracheal stenosis
Traumatic skin ulcer,C0406226,"Hallucinations, mixed"
Cutaneous Vasculitis,C0262988,Traumatic ulcer
Congenital hearing disorder,C0236038,Cutaneous vasculitis
Double kidney (disorder),C0266304,Congenital hearing disorder
Accessory nipple,C0266011,Kidney duplex
Cyst of tongue,C0345176,Supernumerary nipple
Malignant neoplasm of vulva,C0375071,Tongue cyst
Absent reflex,C0234146,Vulval cancer
Hyporeflexia,C0151888,Areflexia
Hyponatremic encephalopathy,C0393638,Hyporeflexia
Senile cardiac amyloidosis,C0268407,Hyponatraemic encephalopathy
Brain Stem Infarctions,C0521542,Cardiac amyloidosis
Swelling of scrotum,C0282005,Brain stem infarction
Merkel cell carcinoma,C0007129,Scrotal swelling
Haematoma infection,C0948087,Neuroendocrine carcinoma of the skin
Haemorrhagic transformation stroke,C1096400,Haematoma infection
Furunculosis of skin AND/OR subcutaneous tissue,C2980105,Haemorrhagic transformation stroke
Osteolysis,C4721411,Recurring skin boils
Cystic acne,C0010666,Osteolysis
Food Interactions,C0242784,Acne cystic
Disease of capillaries,C0155765,Food interaction
Cardiac asthma,C1956414,Microangiopathy
Scleral discoloration,C0235980,Cardiac asthma
Eczematous dermatitis of eyelid,C0155177,Scleral discolouration
Spirometry abnormal,C0853675,Eczema eyelids
Osmotic demyelination syndrome,C2721559,Spirometry abnormal
Device damage,C2747893,Osmotic demyelination syndrome
Alcohol consumption,C0001948,Device damage
Prescribed underdose,C3544263,Alcohol use
Blood osmolarity decreased,C0853755,Prescribed underdose
Free thyroxine concentration decreased below normal,C0948240,Blood osmolarity decreased
Blood immunoglobulin A decreased,C0853706,Thyroxine free decreased
Pseudocyst,C0333161,Blood immunoglobulin A decreased
Retinal Dystrophies,C0854723,Pseudocyst
Placental infarct,C0554393,Retinal dystrophy
"Infant, Small for Gestational Age",C0021296,Placental infarction
Dissociative disorder,C0012746,Small for dates baby
Abdominal rigidity,C0159066,Dissociative disorder
Wound infection pseudomonas,C1167766,Abdominal rigidity
Pathogen resistance,C0853847,Wound infection pseudomonas
Dilatation of ureter,C0521620,Pathogen resistance
Threatened abortion,C0000821,Ureteric dilatation
Pregnancy Complications,C0032962,Abortion threatened
Ulcer of nose,C0264267,Complication of pregnancy
Aortic occlusion,C0596118,Nasal ulcer
Haemorrhagic erosive gastritis,C2242494,Aortic occlusion
Bronchopulmonary Dysplasia,C0006287,Haemorrhagic erosive gastritis
Congenital pulmonary valve abnormality,C0265830,Bronchopulmonary dysplasia
Medical contraindication,C1301624,Congenital pulmonary valve disorder
Peptostreptococcus infection,C1096562,Contraindication to medical treatment
Nail Infection,C0343026,Peptostreptococcus infection
Respiratory tract infection viral,C0877203,Nail infection
Liver tender,C0151767,Respiratory tract infection viral
Idiosyncratic drug reaction,C0919578,Liver tenderness
Meniere Disease,C0025281,Idiosyncratic drug reaction
Application site burn,C0877661,Meniere's disease
Application site scar,C1142459,Application site burn
Lupus Nephritis,C0024143,Application site scar
Blood creatine phosphokinase abnormal,C0853782,Lupus nephritis
Colorectal cancer recurrent,C0854750,Blood creatine phosphokinase abnormal
Vitreous loss,C1398740,Colorectal cancer recurrent
Hepatitis B virus test positive,C2748184,Vitreous loss
Adnexa uteri pain,C1142117,Hepatitis B virus test positive
Urinary tract infection staphylococcal,C1262105,Adnexa uteri pain
Soft Tissue Injuries,C0037578,Urinary tract infection staphylococcal
Ocular Motility Disorders,C0028850,Soft tissue injury
Enlarged uvula,C1735326,Eye movement disorder
Anticonvulsant drug level increased,C1141877,Enlarged uvula
Asterixis,C0232766,Anticonvulsant drug level increased
Splenic abscess,C0272412,Asterixis
Peripheral nerve paresis,C3203709,Splenic abscess
Cyst of tonsil,C0587219,Peripheral nerve paresis
Anisocytosis,C0221278,Tonsillar cyst
Hypochromatism,C0333912,Anisocytosis
Adrenal gland hypofunction,C0001623,Hypochromasia
Apparent life threatening event in infant,C2712370,Adrenal insufficiency
Malignant neoplasm of larynx,C0007107,Apparent life threatening event
Creatinine measurement,C0201975,Laryngeal cancer
Metastatic malignant neoplasm to uterus,C0346995,Blood creatinine
Genital paraesthesia,C3544135,Metastases to uterus
Basilar artery occlusion,C0265098,Genital paraesthesia
Cerebellar Ataxia,C0007758,Basilar artery occlusion
Cerebellar infarction,C0236073,Cerebellar ataxia
Cerebral circulatory failure,C0854112,Cerebellar infarction
Reperfusion Injury,C0035126,Cerebral circulatory failure
Vertebral artery obstruction (disorder),C0265104,Reperfusion injury
Recurrent pancreatitis,C4551632,Vertebral artery occlusion
Diffuse alopecia,C0406458,Pancreatitis relapsing
Feeding tube complication,C1112251,Diffuse alopecia
Ileal ulcer,C0520564,Feeding tube complication
Acromegaly,C0001206,Ileal ulcer
Cancer Pain,C0596240,Acromegaly
"Anus, Imperforate",C0003466,Cancer pain
Neonatal diarrhea,C0235840,Anal atresia
Neonatal Hypotonia,C2267233,Diarrhoea neonatal
Down Syndrome,C0013080,Hypotonia neonatal
Operation on stomach,C0192398,Trisomy 21
Plantar erythema,C0240773,Gastric operation
Tangential thinking,C0558067,Plantar erythema
Wound necrosis,C1096115,Tangentiality
Freckles,C0016689,Wound necrosis
Nephrogenic Diabetes Insipidus,C0162283,Ephelides
Paroxysmal nocturnal dyspnea,C1956415,Nephrogenic diabetes insipidus
Friedreich Ataxia,C0016719,Dyspnoea paroxysmal nocturnal
Recurrent Acute Myeloid Leukemia,C1142169,Friedreich's ataxia
Mass of intestine,C1142163,Acute myeloid leukaemia recurrent
Gastric ulcer operation,C0399682,Intestinal mass
Gastrointestinal ulcer haemorrhage,C1112525,Gastric ulcer surgery
Human chorionic gonadotropin decreased,C3203513,Gastrointestinal ulcer haemorrhage
Cardioactive drug level increased,C0861111,Human chorionic gonadotropin decreased
Elbow deformity,C0852869,Cardioactive drug level increased
Bone spur of vertebra,C1096359,Elbow deformity
Blood urea nitrogen measurement,C0005845,Vertebral osteophyte
Antinuclear antibody increased,C1610056,Blood urea
Anti-DNA antibodies positive,C0855239,Antinuclear antibody increased
Urine protein test,C0262923,DNA antibody positive
Ear tube insertion,C1141891,Protein urine
Color blindness,C0242225,Ear tube insertion
Retinal Degeneration,C0035304,Colour blindness
Blood creatinine abnormal,C0853746,Retinal degeneration
Physical abuse,C1621955,Blood creatinine abnormal
B-cell small lymphocytic lymphoma recurrent,C0855096,Physical abuse
Acute painful neuropathy of rapid glycaemic control,C3544324,B-cell small lymphocytic lymphoma
Oncologic complication,C2242489,Acute painful neuropathy of rapid glycaemic control
Drain placement,C3495845,Oncologic complication
"Intubation, Intratracheal",C0021932,Drain placement
Mechanical ventilation,C0199470,Endotracheal intubation
Pseudoaneurysm,C1510412,Mechanical ventilation
Biliuria,C0159076,Vascular pseudoaneurysm
Infection of uterus,C0042136,Choluria
Palpebral thickening,C4476868,Uterine infection
Scleral Diseases,C0036412,Eyelid thickening
Spinal Cord Diseases,C0037928,Scleral disorder
Ileal Fistula,C1699655,Spinal cord disorder
Tachyphylaxis,C0039242,Ileal fistula
Akathisia,C0392156,Tachyphylaxis
Decreased forced expiratory volume,C0520837,Akathisia
Body Dysmorphic Disorders,C0005887,Forced expiratory volume decreased
"Delusional disorder, mixed type",C0520677,Body dysmorphic disorder
Lipohypertrophy,C1262113,"Delusional disorder, mixed type"
Sudden Cardiac Death,C0085298,Lipohypertrophy
Syringomyelia,C0039144,Sudden cardiac death
Pelvic hematoma,C0475319,Syringomyelia
Lymphadenitis bacterial,C1698981,Pelvic haematoma
Rotavirus Infections,C0035869,Lymphadenitis bacterial
Contusion of eye,C0438624,Rotavirus infection
"Eye Injuries, Penetrating",C0015409,Eye contusion
Tubular atrophy,C1858395,Eye penetration
Employment dissatisfaction,C0425093,Renal tubular atrophy
Torticollis,C0040485,Job dissatisfaction
Retroperitoneal lymphadenopathy,C0748390,Torticollis
Intestinal gangrene,C0151659,Retroperitoneal lymphadenopathy
benign neoplasm of lymph nodes,C0154054,Intestinal gangrene
Pituitary-dependent Cushing's disease,C0221406,Benign lymph node neoplasm
Adult-Onset Still Disease,C0085253,Pituitary-dependent Cushing's syndrome
Fulminant Hepatitis,C0302809,Still's disease adult onset
Bed rest,C0004910,Hepatitis fulminant
Neurological infection,C0850034,Bed rest
Moyamoya Disease,C0026654,Neurological infection
Phonophobia,C0751466,Moyamoya disease
Hamman-Rich syndrome,C0085786,Phonophobia
Toxic pneumonitis,C3714582,Acute interstitial pneumonitis
Tumour ulceration,C0919645,Pneumonitis chemical
"Lupus Erythematosus, Subacute Cutaneous",C0024140,Tumour ulceration
Atrophic endometrium,C0334192,Subacute cutaneous lupus erythematosus
Belligerence,C0679189,Endometrial atrophy
Oral mucosal eruption,C0235312,Belligerence
"Glomerulonephritis, Membranoproliferative",C0017662,Oral mucosal eruption
Obstruction of salivary duct,C0235984,Glomerulonephritis membranoproliferative
Tenting of skin,C0237322,Salivary duct obstruction
Computerised tomogram thorax abnormal,C1141869,Skin turgor decreased
Feeding Disorders,C0854145,Computerised tomogram abnormal
Spinal cord herniation,C1608405,Feeding disorder
Helicobacter test positive,C2748080,Spinal cord herniation
Paranoid Schizophrenia,C0036349,Helicobacter test positive
Cell marker increased,C1535938,"Schizophrenia, paranoid type"
Temporal Arteritis,C1956391,Cell marker increased
Female genital infection,C0729565,Temporal arteritis
Parotid gland haemorrhage,C0919906,Genital infection female
Tinea corporis (disorder),C0040252,Parotid gland haemorrhage
Brain stem herniation,C0270679,Body tinea
"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",C0393819,Brain herniation
Operation on retina,C0197770,Chronic inflammatory demyelinating polyradiculoneuropathy
Repair of umbilical hernia,C0019333,Retinal operation
Retinal Neovascularization,C0035320,Umbilical hernia repair
Splenic hemorrhage,C0520745,Retinal neovascularisation
Metastatic non-small cell lung cancer,C0278987,Splenic haemorrhage
Increased Libido,C0021177,Non-small cell lung cancer
Hypertrophy of adenoids,C0149825,Libido increased
Hypertrophy of tonsils,C0272386,Adenoidal hypertrophy
White Blood Cell Count procedure,C0023508,Tonsillar hypertrophy
Urinary tract inflammation,C1610066,White blood cell count
Bladder discomfort,C0549391,Urinary tract inflammation
Gastric pH increased,C1168033,Bladder discomfort
Elevated mood,C0233479,Gastric pH increased
Fat redistribution,C0856151,Elevated mood
Product physical consistency issue,C3665805,Fat redistribution
Interstitial Cystitis,C0282488,Product physical consistency issue
Hepatic Veno-Occlusive Disease,C0019156,Cystitis interstitial
Prostate examination abnormal,C1096657,Venoocclusive liver disease
Operation on prostate,C0194790,Prostate examination abnormal
Eosinophilic granulomatosis with polyangiitis,C0008728,Prostatic operation
Endometrial hypertrophy,C0858833,Allergic granulomatous angiitis
Hyperinsulinism,C0020459,Endometrial hypertrophy
Portal hypertensive gastropathy,C0580174,Hyperinsulinaemia
Pruritus of oral soft tissues,C0948521,Portal hypertensive gastropathy
Streptococcal pneumonia,C0155862,Oral pruritus
Retinal scar,C0271036,Pneumonia streptococcal
Blood androstenedione increased,C1096499,Retinal scar
Dehydroepiandrosterone decreased,C1112511,Blood androstenedione increased
Coital bleeding,C1610622,Dehydroepiandrosterone decreased
Genotype drug resistance test positive,C1737222,Coital bleeding
C-reactive protein outside reference range,C0580467,Genotype drug resistance test positive
Plague,C0032064,C-reactive protein abnormal
Uterine spasm,C0151998,Plague
Ectopic pregnancy with contraceptive device,C3805012,Uterine spasm
Carotid Body Paraganglioma,C0007279,Pregnancy with contraceptive device
Bronchopulmonary Aspergillosis,C2350530,Carotid body tumour
Myelofibrosis,C0026987,Bronchopulmonary aspergillosis
BK virus infection,C1096691,Myelofibrosis
Monocyte percentage increased,C0948339,BK virus infection
Neutrophil percentage increased,C0948333,Monocyte percentage increased
Paradoxical bronchospasm,C0236072,Neutrophil percentage increased
Haemorrhage subepidermal,C0854108,Bronchospasm paradoxical
House dust allergy,C0339807,Haemorrhage subepidermal
Mycotic allergy,C0948474,House dust allergy
Psychotic behaviour,C0740409,Mycotic allergy
Staring,C0423086,Psychotic behaviour
Injury of pharynx,C0347589,Staring
Yawning,C0043387,Pharyngeal injury
Nerve Degeneration,C0027746,Yawning
Throat cancer,C0740339,Nerve degeneration
Psychomotor skills impaired,C0877167,Throat cancer
Unspecified abortion incomplete,C0812470,Psychomotor skills impaired
Feeding disorder neonatal,C0235841,Abortion incomplete
Injection site pustule,C1096341,Feeding disorder neonatal
Implant site scar,C1535875,Injection site pustule
Ocular Hypertension,C0028840,Implant site scar
Documented hypersensitivity to administered drug,C1536015,Ocular hypertension
Liver Function Tests,C0023901,Documented hypersensitivity to administered drug
Catheter placement,C0883301,Liver function test
Disease of capillaries,C0155765,Catheter placement
Hypoglycemic coma,C0020617,Capillary disorder
Extremity necrosis,C1167745,Hypoglycaemic coma
Loss of proprioception,C1112616,Extremity necrosis
Arteriogram coronary abnormal,C0853523,Loss of proprioception
Cardiac stress test abnormal,C1096350,Arteriogram coronary abnormal
Genital pain,C0239725,Cardiac stress test abnormal
Bromhidrosis,C0263472,Genital pain
Intentional underdose,C1706426,Bromhidrosis
Evaluation procedure,C1261322,Intentional underdose
Complication of peritoneal dialysis,C0274418,Investigation
Nikolsky sign,C0241128,Peritoneal dialysis complication
Pulmonary sepsis,C0948158,Nikolsky's sign
Skin Erosion,C3887524,Pulmonary sepsis
Wound healing normal,C1863751,Skin erosion
Blood electrolytes abnormal,C0853748,Wound healing normal
"Tuberculosis, Extrapulmonary",C0679362,Blood electrolytes abnormal
Missed abortion,C0000814,Extrapulmonary tuberculosis
Foetal heart rate deceleration abnormality,C3805059,Abortion missed
Congenital choroid plexus cyst,C0877052,Foetal heart rate deceleration abnormality
Mycosis fungoides stage II,C0278569,Congenital choroid plexus cyst
Thrombosis of renal vein,C0238457,Mycosis fungoides stage II
Congenital phimosis,C0345326,Renal vein thrombosis
Urine potassium abnormal,C0855526,Phimosis
Female genital tract-skin fistula,C0156358,Urine potassium abnormal
Operation on gallbladder,C0193438,Female genital tract fistula
Procedural nausea,C1868752,Gallbladder operation
Blood triglycerides,C0518018,Procedural nausea
Pregnancy after post coital contraception,C1504417,Blood triglycerides
Urinary tract infection fungal,C0877131,Pregnancy after post coital contraception
Product shape issue,C2609195,Urinary tract infection fungal
Gastric banding reversal,C2938914,Product shape issue
Intussusception,C0021933,Gastric banding reversal
Bone marrow oedema syndrome,C1535993,Intussusception
Pancreatic enzymes abnormal,C0855440,Bone marrow oedema syndrome
Increased glare sensitivity,C3887688,Pancreatic enzymes abnormal
Mesangial proliferative glomerulonephritis,C0221238,Glare
Magnetic resonance imaging of brain abnormal (finding),C1319851,Mesangioproliferative glomerulonephritis
Stent-graft endoleak,C1536023,Nuclear magnetic resonance imaging brain abnormal
Anti-erythrocyte antibody,C0877240,Stent-graft endoleak
Mycosis Fungoides,C0026948,Anti-erythrocyte antibody
Malignant urinary tract neoplasm metastatic,C5577795,Mycosis fungoides
Vulvovaginal swelling,C3160944,Malignant urinary tract neoplasm
Pharyngeal lesion,C0749389,Vulvovaginal swelling
Pleural Tuberculosis,C0041326,Throat lesion
Vasculitic rash,C0521161,Tuberculous pleurisy
Subacute thyroiditis,C0040149,Vasculitic rash
Left ventricular end-diastolic pressure increased,C1168064,Thyroiditis subacute
Increased drug tolerance,C0521853,Left ventricular end-diastolic pressure increased
Blood product transfusion dependent,C1695982,Drug tolerance increased
Paroxysmal nocturnal hemoglobinuria,C0024790,Blood product transfusion dependent
Vascular System Injuries,C0178324,Paroxysmal nocturnal haemoglobinuria
Application of cast,C0687121,Vascular injury
Hearing disability,C0848765,Cast application
Nuclear cataract,C0392557,Hearing disability
Transitional cell cancer of the renal pelvis and ureter localised,C0280240,Cataract nuclear
Platelet Transfusion,C0086818,Transitional cell cancer of the renal pelvis and ureter
Attention seeking behavior,C0474408,Platelet transfusion
Insulin-requiring type 2 diabetes mellitus,C0877302,Attention-seeking behaviour
Athletic Injuries,C0004161,Insulin-requiring type 2 diabetes mellitus
Rectal cancer stage IV,C0861772,Sports injury
Tricuspid valve disorder,C0264882,Rectal cancer metastatic
Herpes zoster cutaneous disseminated,C3665893,Tricuspid valve disease
Injection site cellulitis,C0919590,Herpes zoster cutaneous disseminated
"Colitis, Microscopic",C0400821,Injection site cellulitis
Disorder of mineral metabolism,C0154260,Colitis microscopic
"Hydrocephalus, Normal Pressure",C0020258,Mineral metabolism disorder
Cancer Remission,C0687702,Normal pressure hydrocephalus
Plasmapheresis,C0032134,Cancer in remission
Full blood count outside reference range,C0438216,Plasmapheresis
Dilatation of the bladder,C0549253,Full blood count abnormal
Parotitis,C0030583,Bladder dilatation
B-Cell Lymphomas,C0079731,Parotitis
Lymphoproliferative Disorders,C0024314,B-cell lymphoma
Orbital Diseases,C0029182,Lymphoproliferative disorder
Salivary Gland Diseases,C0036093,Disorder of orbit
Adenoviral haemorrhagic cystitis,C1112629,Salivary gland disorder
Small intestine carcinoma,C0238196,Adenoviral haemorrhagic cystitis
Kaposi Sarcoma,C0036220,Small intestine carcinoma
Female sex hormone level abnormal,C1695986,Kaposi's sarcoma
Decreased circulating ferritin concentration,C0241012,Female sex hormone level abnormal
Ptosis of eyebrow,C0423122,Serum ferritin decreased
Zenker Diverticulum,C0085232,Brow ptosis
Uremic neuropathy,C0268708,Pharyngo-oesophageal diverticulum
Bacterial Vaginosis,C0085166,Uraemic neuropathy
Keratomileusis,C0339022,Bacterial vaginosis
Lupus pneumonitis,C1112402,Keratomileusis
Albumin globulin ratio decreased,C0860867,Lupus pneumonitis
Reduced anion gap,C0342593,Albumin globulin ratio decreased
Large intestinal polypectomy,C3805058,Anion gap decreased
Peyronie Disease,C0030848,Large intestinal polypectomy
Hypopigmentation disorder,C0162835,Peyronie's disease
Bone swelling,C1096081,Skin hypopigmentation
Cyst of vulva,C0269220,Bone swelling
Vitello-intestinal duct remnant,C1868757,Vulva cyst
"Metabolic acidosis, NAG, acidifying salts",C0085569,Vitello-intestinal duct remnant
Debridement of bone,C0185221,Acidosis hyperchloraemic
Fascial infection,C1112207,Bone debridement
reproductive system disorder,C0178829,Fascial infection
Thoughts of self harm,C0522178,Reproductive tract disorder
Hepatic Vein Thrombosis,C0019154,Self-injurious ideation
Blast cell count increased,C1262102,Hepatic vein thrombosis
Chronic myeloid leukaemia transformation,C2242704,Blast cell count increased
